,서비스구분,서비스ID,대분류명,소분류명,서비스상태,서비스명,결제방법,장소명,서비스대상,바로가기URL,장소X좌표,장소Y좌표,서비스개시시작일시,서비스개시종료일시,접수시작일시,접수종료일시,지역명,이미지경로,전화번호,서비스이용 시작시간,서비스이용 종료시간,취소기간 기준정보,취소기간 기준일까지,종료일자,종료시간
127,자체,S241230153012152566,문화체험,문화행사,접수중,2025년 강북구 문화관광해설 프로그램,무료,근현대사기념관,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241230153012152566,127.0028327,37.64344089,2025-01-01 0:00:00,20251231 00:00:00.0,2025-01-03 0:01:00,2025-12-31 0:02:00,강북구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17355413036570U1WWSSAF39BEXHBL5AH9FOY6,02-901-6214,10:00,16:00,이용일,3,20251231,0:00:00
128,자체,S241120141814866774,문화체험,전시/관람,접수중,[개인예약]2025년 서울생활사박물관 어린이체험실 '옴팡' 관람 개인 예약,무료,서울생활사박물관,가족(이용자모두예약필수),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241120141814866774,127.0769385,37.620174,2025-01-02 0:00:00,20251231 00:00:00.0,2024-12-05 9:00:00,2025-12-31 23:55:00,노원구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1732080204161PIR1IAER2510EYI930D8W24YB,02-3399-2900,9:40,17:30,이용일,1,20251231,0:00:00
129,자체,S241121091132305025,문화체험,전시/관람,접수중,[단체예약]2025년 서울생활사박물관 어린이체험실 '옴팡' 관람 단체 예약,무료,서울생활사박물관,어린이(보호자인원포함),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S241121091132305025,127.0769385,37.620174,2025-01-02 0:00:00,20251231 00:00:00.0,2024-12-10 9:00:00,2025-12-31 23:55:00,노원구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1732148112035WLN1QFPVPAINOAULRAX12CZN9,02-3399-2900,9:40,11:40,이용일,1,20251231,0:00:00
130,자체,S250123092420725267,문화체험,교육체험,접수종료,[서울생활사박물관] 2025년 상반기 변장나들이(유치원 및 어린이집 단체),무료,서울생활사박물관,유아(유치원 및 어린이집 단체(5~7세)),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250123092420725267,127.0769385,37.620174,2025-03-18 0:00:00,20250603 00:00:00.0,2025-02-20 9:00:00,2025-03-04 16:00:00,노원구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1739405462868UH9D1XV3W1GWA4HFMSEDEHJIU,"02-3399-2953, 2974",10:00,11:40,접수종료일,1,20250603,0:00:00
131,자체,S250205090132831698,문화체험,교육체험,접수종료,[서울생활사박물관] 2025년 무브무브 나의 생활사(초등 3~4학년 학급 단체),무료,서울생활사박물관,초등학생(초등학교 3~4학년 학급단체),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250205090132831698,127.0769385,37.620174,2025-04-02 0:00:00,20251203 00:00:00.0,2025-02-17 9:00:00,2025-03-11 16:00:00,노원구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1738713952219EYTIMDHJ95N47NSF7XF3MOW0Z,"02-3399-2953, 2974",10:00,12:00,접수종료일,1,20251203,0:00:00
132,자체,S250206104757958373,문화체험,교육체험,예약마감,"[서울생활사박물관](주말, 초등학생 동반 가족) 2025년 상반기 가족 생활사 공작소",무료,서울생활사박물관,가족(초등학생 동반 가족),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250206104757958373,127.0769385,37.620174,2025-03-08 0:00:00,20250524 00:00:00.0,2025-02-26 9:00:00,2025-05-20 16:00:00,노원구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1739240956422UVTVW8VX64O3XZ3SPNM128E7K,"02-3399-2953, 2974",10:00,12:00,이용일,5,20250524,0:00:00
133,자체,S250207161116709585,문화체험,교육체험,접수종료,[서울생활사박물관] 2025년 조각조각 서울이야기 엮기(초등5~6학년 학급단체),무료,서울생활사박물관,초등학생(초등학교 5~6학년 학급 단체),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250207161116709585,127.0769385,37.620174,2025-04-03 0:00:00,20251204 00:00:00.0,2025-02-17 9:00:00,2025-03-11 16:00:00,노원구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17389133222489P5D0F8V430FJV4J655E86JE0,"02-3399-2967, 2974",10:00,12:00,접수종료일,1,20251204,0:00:00
134,자체,S250214142336191761,문화체험,교육체험,접수중,[서울생활사박물관] 2025년 박물관에서 열린 청소년 생활법정(중?고등학교 단체),무료,서울생활사박물관," 청소년(중학교, 고등학교 학급 및 동아리 단체)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250214142336191761,127.0769385,37.620174,2025-06-04 0:00:00,20251112 00:00:00.0,2025-02-20 9:00:00,2025-04-11 16:00:00,노원구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=173951201574973HPGGQ5KF9ZSAM9CYEOVT4NA,"02-3399-2967, 2974",13:00,15:40,접수종료일,1,20251112,0:00:00
135,자체,S250312141604074051,문화체험,교육체험,접수종료,[서울생활사박물관] (추가모집) 2025년 조각조각 서울이야기 엮기(초등5~6학년 학급단체),무료,서울생활사박물관,초등학생(초등학교 5~6학년 학급 단체),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250312141604074051,127.0769385,37.620174,2025-06-19 0:00:00,20251127 00:00:00.0,2025-03-12 15:00:00,2025-03-25 16:00:00,노원구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1741757328639Q7YOBB8DNMEZBDNPDUPXULROV,"02-3399-2967, 2974",10:00,12:00,접수종료일,1,20251127,0:00:00
136,자체,S250313085547780023,문화체험,교육체험,접수종료,(추가모집)[서울생활사박물관] 2025년 무브무브 나의 생활사(초등 3~4학년 학급 단체),무료,서울생활사박물관,초등학생(초등학교 3~4학년 학급단체),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250313085547780023,127.0769385,37.620174,2025-04-16 0:00:00,20250416 00:00:00.0,2025-03-13 10:00:00,2025-03-19 16:00:00,노원구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1741823817292D2POOQTRMNAAFCGZ3079D0FHO,"02-3399-2953, 2974",10:00,12:00,접수종료일,1,20250416,0:00:00
137,자체,S250404164359847281,문화체험,교육체험,접수중,(추가모집)[서울생활사박물관] 2025년 무브무브 나의 생활사(초등 3~4학년 학급 단체),무료,서울생활사박물관,초등학생(초등학교 3~4학년 학급단체),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250404164359847281,127.0769385,37.620174,2025-05-14 0:00:00,20251029 00:00:00.0,2025-04-04 17:00:00,2025-04-29 16:00:00,노원구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743752800270ZLIUSQMYTTM2RNRJXVF388RD1,"02-3399-2953, 2974",10:00,12:00,접수종료일,1,20251029,0:00:00
138,자체,S250221180634372751,문화체험,문화행사,접수중,"[서대문 도보해설] (6코스) 기억의 공간, 서대문 독립공원 - 주말 오후 3시",무료,충정로 일대,제한없음(초등생 이상 ※미취학 아동 참여 불가),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250221180634372751,126.9622653,37.5600783,2025-02-01 0:00:00,20271231 00:00:00.0,2025-02-21 0:00:00,2027-12-31 0:00:00,서대문구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740128822665UDK7SE0VG0KSYS5UVH9DRX76E,02-330-1809,0:00,0:00,이용일,4,20271231,0:00:00
139,자체,S250221174916504950,문화체험,문화행사,예약마감,"[서대문도보여행] (3코스) 신촌, 응답하라 7080 - 주말 오전10시",무료,신촌 일대,제한없음(초등생 이상 ※미취학 아동 참여 불가),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250221174916504950,126.9366827,37.55626349,2025-02-01 0:00:00,20271231 00:00:00.0,2025-02-21 0:00:00,2027-12-31 0:00:00,서대문구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740357820797IKD1H9T77D2K78GEUSQ5IOBQJ,02-330-1809,0:00,0:00,이용일,2,20271231,0:00:00
140,자체,S240620174317481764,문화체험,산림여가,접수중,관악구 선우 유아숲 시설 체험 해보기 '우리는 매력가족' 오후의 숲산책 ' (월요일 주중 4시 ),무료,선우유아숲체험원,어린이(유아.초등 저학년 동반 부모 ),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240620174317481764,126.9109534,37.46940673,2025-04-03 0:00:00,20250428 00:00:00.0,2025-04-01 9:00:00,2025-04-24 9:00:00,관악구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743567753884ULK0ONS282WFHNDK2YQH1HKKF,02-866-8854,16:00,17:00,이용일,0,20250428,0:00:00
141,자체,S250224135654470031,문화체험,교육체험,접수중,순례역사길 1코스(중구 도보관광 프로그램),무료,명동대성당,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250224135654470031,126.9867754,37.56367731,2025-03-21 0:00:00,20250630 00:00:00.0,2025-03-21 0:00:00,2025-06-30 0:00:00,중구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740373249830NR9ZQOBV5UJHC34V63LPNDFAI,02-3396-4644,10:00,16:00,이용일,5,20250630,0:00:00
142,자체,S240906132329559560,문화체험,산림여가,안내중,[당곡]가족과 함께 숲속 미술 여행],무료,당곡 유아숲체험원,유아,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240906132329559560,126.9345488,37.49281838,2025-04-01 0:00:00,20250427 00:00:00.0,2025-04-14 0:00:00,2025-04-26 10:00:00,관악구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17255966093929844E7EHMI7W7J9VGKQRN3T8H,,10:30,14:30,이용기간시작일,1,20250427,0:00:00
143,자체,S240603093238072625,문화체험,전시/관람,접수중,아리수나라 어린이 체험 예약,무료,아리수나라 홍보관," 성인, 어린이, 초등학생",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240603093238072625,127.0775846,37.55136206,2024-06-01 0:00:00,20250531 00:00:00.0,2024-06-01 9:00:00,2025-05-31 17:00:00,광진구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1720504189489RAPOO9KSVSWBIIPRQPQT9PQCY,02-3146-5946,9:30,17:40,이용일,1,20250531,0:00:00
144,자체,S250221173159812742,문화체험,문화행사,접수중,"[서대문 도보여행] (1코스) 독립의 열망을 품은 길, 의주로 - 주말 오전10시",무료,충정로 일대,제한없음(초등생이상 ※미취학 아동 참여 불가),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250221173159812742,126.9622653,37.5600783,2025-02-01 0:00:00,20251231 00:00:00.0,2025-02-21 0:00:00,2025-12-31 0:00:00,서대문구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174012674189863UBDSACXY5CJ4U3PJA8OL8QN,02-330-1809,0:00,0:00,이용일,4,20251231,0:00:00
145,자체,S250221173543033700,문화체험,문화행사,접수중,"[서대문 도보여행] (1코스) 독립의 열망을 품은 길, 의주로 - 주말 오후3시",무료,충정로 일대,제한없음(초등생이상 ※미취학 아동 참여 불가),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250221173543033700,126.9622653,37.5600783,2025-02-01 0:00:00,20251231 00:00:00.0,2025-02-21 0:00:00,2025-12-31 0:00:00,서대문구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740127181785IVQOI02WFS8FE8J0VQVUXTMAC,02-330-1809,0:00,0:00,이용일,4,20251231,0:00:00
146,자체,S250221180252350833,문화체험,문화행사,접수중,"[서대문 도보해설] (6코스) 기억의 공간, 서대문 독립공원 - 주말 오전 10시",무료,충정로 일대,제한없음(초등생 이상 ※미취학 아동 참여 불가),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250221180252350833,126.9622653,37.5600783,2025-02-01 0:00:00,20271231 00:00:00.0,2025-02-21 0:00:00,2027-12-31 0:00:00,서대문구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740128595105MBZS6VTXDRU9O3RVVIO5RT1II,02-330-1809,0:00,0:00,이용일,4,20271231,0:00:00
147,자체,S250221175151491511,문화체험,문화행사,접수중,"[서대문도보여행] (3코스) 신촌, 응답하라 7080 - 주말 오후 3시",무료,신촌 일대,제한없음(초등생 이상 ※미취학 아동 참여 불가),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250221175151491511,126.9366827,37.55626349,2025-02-01 0:00:00,20271231 00:00:00.0,2025-02-21 0:00:00,2027-12-31 0:00:00,서대문구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740127948928EEAP7N72IKVUMO65R93DAVMW9,02-330-1809,0:00,0:00,이용일,4,20271231,0:00:00
148,자체,S250221175455762844,문화체험,문화행사,접수중,[서대문도보여행] (4코스) 젊음의 도시 신촌 대학탐방 - 주말오전10시,무료,신촌 일대,제한없음(초등생 이상 ※미취학 아동 참여 불가),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250221175455762844,126.9366827,37.55626349,2025-02-01 0:00:00,20271230 00:00:00.0,2025-02-21 0:00:00,2027-12-31 0:00:00,서대문구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740128149314N3CEG5D6C2V2GZNMY9F72ZNE4,02-330-1809,0:00,0:00,이용일,4,20271230,0:00:00
149,자체,S250224094924371291,문화체험,문화행사,접수중,[서대문도보여행] (4코스) 젊음의 도시 신촌 대학탐방 - 주말오후3시,무료,신촌 일대,제한없음(초등생 이상 ※미취학 아동 참여 불가),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250224094924371291,126.9366827,37.55626349,2025-02-01 0:00:00,20271231 00:00:00.0,2025-02-01 0:00:00,2027-12-31 0:00:00,서대문구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17403582608345Q97GI3KVMLHG4XZBFVUHZ91O,02-330-1809,0:00,0:00,이용일,4,20271231,0:00:00
150,자체,S250221174304033984,문화체험,문화행사,접수중,[서대문 도보여행] (2코스) 역사와 함께하는 안산 트레킹 로드 - 주말 오전10시,무료,무악재 일대,제한없음(초등생이상 ※미취학 아동 참여 불가),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250221174304033984,126.9492902,37.58156064,2025-02-01 0:00:00,20251231 00:00:00.0,2025-02-21 0:00:00,2025-12-31 0:00:00,서대문구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740127400233KSM2Y8UA18UU6QETB435S94T1,02-330-1809,0:00,0:00,이용일,4,20251231,0:00:00
151,자체,S250221174644216686,문화체험,문화행사,예약마감,[서대문 도보해설] (2코스)역사와 함께하는 안산 트레킹 로드 - 주말 오후3시,무료,무악재 일대,제한없음(초등생이상 ※미취학 아동 참여 불가),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250221174644216686,126.9492902,37.58156064,2025-02-01 0:00:00,20271231 00:00:00.0,2025-02-21 0:00:00,2027-12-31 0:00:00,서대문구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740127643964O835WJQQALTZZSF4SSTMBABZ7,02-330-1809,0:00,0:00,이용일,4,20271231,0:00:00
152,자체,S250221175800190689,문화체험,문화행사,접수중,[서대문 도보여행] (5코스) 안산자락길 나만의 힐링로드 - (수) 오전10시,무료,무악재 일대,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250221175800190689,126.9492902,37.58156064,2025-02-01 0:00:00,20271231 00:00:00.0,2025-02-21 0:00:00,2027-12-31 0:00:00,서대문구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740128321574WF108KKFK2EJBMWAEKFPNU9QR,02-330-1809,0:00,0:00,이용일,2,20271231,0:00:00
153,자체,S250221180109942543,문화체험,문화행사,접수중,[서대문 도보여행] (5코스) 안산자락길 나만의 힐링로드 - (수) 오후3시,무료,무악재 일대,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250221180109942543,126.9492902,37.58156064,2025-02-01 0:00:00,20271231 00:00:00.0,2025-02-21 0:00:00,2027-12-31 0:00:00,서대문구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740128488460BU1STVJEJ5V2LQK9CIKM90SU6,02-330-1809,0:00,0:00,이용일,2,20271231,0:00:00
154,자체,S250221180909547695,문화체험,문화행사,접수중,[서대문 도보해설](7코스) 홍제천 물길따라 걷는 이야기 여행 - 주말 오전 10시,무료,무악재 일대,제한없음(초등생 이상 ※미취학 아동 참여 불가),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250221180909547695,126.9492902,37.58156064,2025-02-01 0:00:00,20250830 00:00:00.0,2025-02-01 0:00:00,2025-08-31 0:00:00,서대문구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740128996556XZZABKVV3N4ZVUK7XD2I79HN7,02-330-1809,0:00,0:00,이용일,4,20250830,0:00:00
155,자체,S250221181140318205,문화체험,문화행사,접수중,[서대문 도보해설](7코스) 홍제천 물길따라 걷는 이야기 여행 - 주말 오후 3시,무료,무악재 일대,제한없음(초등생 이상 ※미취학 아동 참여 불가),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250221181140318205,126.9492902,37.58156064,2025-02-01 0:00:00,20250831 00:00:00.0,2025-02-21 0:00:00,2025-08-31 0:00:00,서대문구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740129118503EFY8DAG96DLAZAC7GDF2B82PV,02-330-1809,0:00,0:00,이용일,4,20250831,0:00:00
156,자체,S250221181344480031,문화체험,문화행사,접수중,[서대문 도보해설](7코스) 홍제천 물길따라 걷는 이야기 여행 - (수) 오후 3시,무료,무악재 일대,제한없음(초등생 이상 ※미취학 아동 참여 불가),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250221181344480031,126.9492902,37.58156064,2025-02-01 0:00:00,20271231 00:00:00.0,2025-02-21 0:00:00,2027-12-31 0:00:00,서대문구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740129243327YX4AFKCS8RFXPY9TKC07A4KJO,02-330-1809,0:00,0:00,이용일,2,20271231,0:00:00
157,자체,S250311180132266632,문화체험,전시/관람,접수중,2025년 4월 용산도시기억전시관 전시 해설 운영,무료,용산도시기억전시관,제한없음(초등학생 이상),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250311180132266632,126.9665156,37.52638063,2025-04-01 0:00:00,20250430 00:00:00.0,2025-03-24 13:00:00,2025-04-30 0:00:00,용산구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1741683751788RN48GJ3P9K8Y64VQ5VA0FWS2Y,02-3785-2590,11:00,15:40,이용일,1,20250430,0:00:00
158,자체,S250324102414785008,문화체험,교육체험,예약마감,(토)특명! 독립군 밀서를 안전하게 전달하라!,무료,봉수대공원,어린이(초등 저학년 동반가족),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324102414785008,127.0916233,37.60690372,2025-04-05 0:00:00,20250412 00:00:00.0,2025-03-24 12:00:00,2025-04-09 18:00:00,중랑구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17427796490060LEUM9BDCIA87MFH8KMAF9RII,,10:00,16:30,이용일,3,20250412,0:00:00
159,자체,S250403160420411743,문화체험,교육체험,예약마감,(일)특명! 독립군 밀서를 안전하게 전달하라!,무료,봉수대공원,어린이(초등 저학년 동반가족),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250403160420411743,127.0916233,37.60690372,2025-04-13 0:00:00,20250413 00:00:00.0,2025-04-03 17:00:00,2025-04-10 18:00:00,중랑구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174366419387711GGJAR9XAKIJYWM6W66DP7O6,,10:00,16:30,이용일,3,20250413,0:00:00
160,자체,S221208131717851016,문화체험,전시/관람,접수중,서울역사박물관 전시해설 예약,무료,서울역사박물관,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S221208131717851016,126.97038,37.57052,2023-01-01 0:00:00,20250531 00:00:00.0,2022-12-08 0:00:00,2025-05-31 18:00:00,종로구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1670473083216IDC7UXNCDK6P4M86HAH3A0DMC,02-724-0274,10:00,17:00,이용일,1,20250531,0:00:00
161,자체,S250326144842653118,문화체험,산림여가,접수중,[관악구] 관악산 치유의 숲길 - 꽃잠숲(갱년기 여성),무료,관악산산림치유센터," 여성(40~60 대, 치유의 숲길 도보 이용이 가능한 자)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250326144842653118,126.94523,37.45733,2025-03-26 0:00:00,20250430 00:00:00.0,2025-03-26 17:00:00,2025-04-29 17:00:00,관악구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742968917529X95A95ECC1YMG51WLAW8ZKZRE,,10:00,12:00,이용일,3,20250430,0:00:00
162,자체,S250326150835925243,문화체험,산림여가,접수중,[관악구] 관악산 치유의 숲길 - 숨결치유숲(개인),무료,관악산산림치유센터," 성인(20~60 대, 치유의 숲길 도보 이용이 가능한 자)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250326150835925243,126.94523,37.45733,2025-03-26 0:00:00,20250430 00:00:00.0,2025-03-26 17:00:00,2025-04-29 17:00:00,관악구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742969607016P7JFO8MW9QB6T9UALJ007QZQ0,,10:00,16:00,이용일,3,20250430,0:00:00
163,자체,S250326152235974387,문화체험,산림여가,접수중,[관악구] 관악산 치유의 숲길 - 꿀잠숲(단체),무료,관악산산림치유센터,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250326152235974387,126.94523,37.45733,2025-03-26 0:00:00,20250430 00:00:00.0,2025-03-26 17:00:00,2025-04-24 17:00:00,관악구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742971408240UWEZOV2KHS7M6U3GG3D759IGL,,14:00,16:00,이용일,3,20250430,0:00:00
164,자체,S250326154808600598,문화체험,산림여가,접수중,[관악구] 관악산 치유의 숲길 - 물결치유숲(장애인과 가족),무료,관악산산림치유센터,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250326154808600598,126.94523,37.45733,2025-03-26 0:00:00,20250424 00:00:00.0,2025-03-26 17:00:00,2025-04-23 17:00:00,관악구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742971897321127XYZNMJK03SS93QZJV7EZKM,,14:00,16:00,이용일,3,20250424,0:00:00
165,자체,S250326155849447325,문화체험,산림여가,접수중,[관악구] 관악산 치유의 숲길 - 놀이치유숲(어린이동반 가족),무료,관악산산림치유센터,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250326155849447325,126.94523,37.45733,2025-03-26 0:00:00,20250427 00:00:00.0,2025-03-26 17:00:00,2025-04-26 17:00:00,관악구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742972497758X2VZ9QLS6WC9242LS6YFC2VJD,,10:00,16:00,이용일,3,20250427,0:00:00
166,자체,S250326144001309676,문화체험,산림여가,접수중,"(관악구 숲해설 4월)(토, 오전, 누구나) 관악산 계곡숲길 산책 프로그램",무료,관악산 숲속생태체험관,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250326144001309676,126.94668,37.45887,2025-04-05 0:00:00,20250426 00:00:00.0,2025-03-27 10:00:00,2025-04-25 12:00:00,관악구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743647871672F4XWZG1N12OTH85NLLWPGY9HZ,,10:00,12:00,이용일,3,20250426,0:00:00
167,자체,S250326145804637676,문화체험,산림여가,예약마감,"(관악구 숲해설 4월)(일, 오전, 초등생 포함 가족) 관악산 초등탐사대",무료,관악산 숲속생태체험관,가족,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250326145804637676,126.94668,37.45887,2025-04-06 0:00:00,20250420 00:00:00.0,2025-03-27 10:00:00,2025-04-19 12:00:00,관악구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743647826117CDM3738ZJK0C9015E6DC8O84B,,10:00,12:00,이용일,3,20250420,0:00:00
168,자체,S250403085401362143,문화체험,교육체험,예약마감,(주말가족)대모산유아숲,무료,대모산 유아숲체험원,가족(만3세이상),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250403085401362143,127.0808938,37.47957241,2025-04-03 0:00:00,20250430 00:00:00.0,2025-04-03 0:00:00,2025-04-30 0:00:00,강남구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743638162943OVWBLUBN50HBHV8FEFYWPSDCC,010-9063-0759/02-3423-6286,10:00,12:00,이용일,1,20250430,0:00:00
169,자체,S250319134524775722,문화체험,교육체험,예약마감,[4월 석촌호수 아뜰리에 교육 프로그램] 코레오그래피,무료,석촌호수 아뜰리에," 성인, 청소년",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319134524775722,127.0980234,37.50678443,2025-04-08 0:00:00,20250429 00:00:00.0,2025-03-21 11:00:00,2025-04-29 9:00:00,송파구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174235963940354840QXU9K0IUE5ZBRHWH57B8,02-2147-3246,17:00,18:00,접수종료일,1,20250429,0:00:00
170,자체,S250319135319340679,문화체험,교육체험,예약마감,[4월 석촌호수 아뜰리에 교육 프로그램] 밸리댄스,무료,석촌호수 아뜰리에," 여성, 제한없음",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319135319340679,127.0980234,37.50678443,2025-04-09 0:00:00,20250430 00:00:00.0,2025-03-21 11:00:00,2025-04-30 9:00:00,송파구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174236005822591SHMBCW5DCVRFMI29C82T0M7,02-2147-3246,10:00,11:00,이용일,1,20250430,0:00:00
171,자체,S250319135817031450,문화체험,교육체험,접수중,[4월 석촌호수 아뜰리에 교육 프로그램] 민요,무료,석촌호수 아뜰리에,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319135817031450,127.0980234,37.50678443,2025-04-09 0:00:00,20250430 00:00:00.0,2025-03-21 11:00:00,2025-04-30 9:00:00,송파구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742360358099I42T9PC1E06T81QB8ADF3CB5T,02-2147-3246,14:00,15:00,이용일,1,20250430,0:00:00
