,服务分类,服务ID,大分类名称,小分类名称,服务状态,服务名称,支付方式,场所名称,服务对象,快捷链接URL,场所X坐标,场所Y坐标,服务开始起始日期时间,服务开始结束日期时间,接收开始日期时间,接收结束日期时间,区域名称,图片路径,电话号码,服务使用开始时间,服务使用结束时间,取消期限基准信息,取消期限截止日期,结束日期,结束时间
166,本身,S250326144001309676,文化体验,山林休闲,正在接收,(观岳区森林解说 4月)（周六，上午，适合所有人） 观岳山溪谷森林之路散步项目,免费,观岳山森林生态体验馆,家庭,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250326144001309676,126.94668,37.45887,2025-04-05 0:00:00,20250426 00:00:00.0,2025-03-27 10:00:00,2025-04-25 12:00:00,冠岳区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743647871672F4XWZG1N12OTH85NLLWPGY9HZ,,10:00,12:00,李龙日,3,20250426,0:00:00
167,本身,S250326145804637676,文化体验,山林休闲,预约截止,(观岳区森林解说 4月)（周日，上午，小学生家庭） 观岳山小学生探索队,免费,观岳山森林生态体验馆,家庭（3岁以上）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250326145804637676,126.94668,37.45887,2025-04-06 0:00:00,20250420 00:00:00.0,2025-03-27 10:00:00,2025-04-19 12:00:00,冠岳区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743647826117CDM3738ZJK0C9015E6DC8O84B,,10:00,12:00,李龙日,3,20250420,0:00:00
168,本身,S250403085401362143,文化体验,教育体验,预约截止,(周末家庭) 大母山幼儿森林,免费,大母山幼儿森林体验馆,成人，青少年,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250403085401362143,127.0808938,37.47957241,2025-04-03 0:00:00,20250430 00:00:00.0,2025-04-03 0:00:00,2025-04-30 0:00:00,江南区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743638162943OVWBLUBN50HBHV8FEFYWPSDCC,010-9063-0759/02-3423-6286,10:00,12:00,李龙日,1,20250430,0:00:00
169,本身,S250319134524775722,文化体验,教育体验,预约截止,[4月石村湖艺术馆教育项目] 编舞,免费,石村湖艺术工作室,女性，无限制,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319134524775722,127.0980234,37.50678443,2025-04-08 0:00:00,20250429 00:00:00.0,2025-03-21 11:00:00,2025-04-29 9:00:00,松坡区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174235963940354840QXU9K0IUE5ZBRHWH57B8,02-2147-3246,17:00,18:00,受理终止日,1,20250429,0:00:00
170,本身,S250319135319340679,文化体验,教育体验,预约截止,[4月石村湖艺术馆教育项目] 摆舞,免费,石村湖艺术工作室,无限制,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319135319340679,127.0980234,37.50678443,2025-04-09 0:00:00,20250430 00:00:00.0,2025-03-21 11:00:00,2025-04-30 9:00:00,松坡区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174236005822591SHMBCW5DCVRFMI29C82T0M7,02-2147-3246,10:00,11:00,李龙日,1,20250430,0:00:00
171,本身,S250319135817031450,文化体验,教育体验,正在接收,[4月石村湖艺术馆教育项目] 民谣,免费,石村湖艺术工作室,成人（20岁以上）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319135817031450,127.0980234,37.50678443,2025-04-09 0:00:00,20250430 00:00:00.0,2025-03-21 11:00:00,2025-04-30 9:00:00,松坡区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742360358099I42T9PC1E06T81QB8ADF3CB5T,02-2147-3246,14:00,15:00,李龙日,1,20250430,0:00:00
175,本身,S250319132026877412,文化体验,教育体验,预约截止,[4月石村湖艺术馆教育项目] 平衡瑜伽,免费,石村湖艺术工作室,成人（20岁以上）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319132026877412,127.0980234,37.50678443,2025-04-08 0:00:00,20250429 00:00:00.0,2025-03-21 11:00:00,2025-04-29 9:00:00,松坡区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17423583022218GMXPNFN6EHBOPRPDWXTYCLQV,02-2147-3246,10:00,11:00,李龙日,1,20250429,0:00:00
176,本身,S250319132731103553,文化体验,教育体验,预约截止,[4月石村湖艺术馆教育项目] 普拉提,免费,石村湖艺术工作室,成人，青少年,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319132731103553,127.0980234,37.50678443,2025-04-08 0:00:00,20250429 00:00:00.0,2025-03-21 11:00:00,2025-04-29 9:00:00,松坡区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742358507628OOLSPPAV9TCIUBD8IF0VRD4VX,02-2147-3246,12:00,13:00,李龙日,1,20250429,0:00:00
177,本身,S250319133813995130,文化体验,教育体验,预约截止,[4月石村湖艺术馆教育项目] 古典声乐,免费,石村湖艺术工作室,家庭,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319133813995130,127.0980234,37.50678443,2025-04-08 0:00:00,20250429 00:00:00.0,2025-03-21 11:00:00,2025-04-29 9:00:00,松坡区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742359149914TF18P8BF7EPXP9XPJMOJLCJ0D,02-2147-3246,14:00,15:00,受理终止日,1,20250429,0:00:00
178,本身,S250321093637901777,文化体验,公园探访,正在接收,(周六、周日) 梦之森春季出游,免费,北首尔梦想森林,成人，青少年,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321093637901777,127.04434,37.62026,2025-03-24 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 11:01:00,江北区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742517964705ZA3GQK4RPP2MIREKFNENENY5Z,02-2289-4052,10:00,15:00,李龙日,3,20250430,0:00:00
179,本身,S250319140232380148,文化体验,教育体验,预约截止,[4月石村湖艺术馆教育项目] 原声吉他,免费,石村湖艺术工作室,无限制（青少年以上）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319140232380148,127.0980234,37.50678443,2025-04-09 0:00:00,20250430 00:00:00.0,2025-03-21 11:00:00,2025-04-30 9:00:00,松坡区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742360591952A0WQSDKS1CLM1V63RJP0N3HC2,02-2147-3246,15:50,16:50,李龙日,1,20250430,0:00:00
180,本身,S250319142934679166,文化体验,教育体验,预约截止,[4月石村湖艺术馆教育项目] 盘索里,免费,石村湖艺术工作室,成人，青少年,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319142934679166,127.0980234,37.50678443,2025-04-08 0:00:00,20250429 00:00:00.0,2025-03-21 11:00:00,2025-04-29 9:00:00,松坡区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742362244536XYCEFN4O9VIW1YHTAAHFLC7CL,02-2147-3246,15:50,16:50,李龙日,1,20250429,0:00:00
181,本身,S250319143530943101,文化体验,教育体验,预约截止,[4月石村湖艺术馆教育项目] 灵魂舞蹈,免费,石村湖艺术工作室,成人（19岁以上）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319143530943101,127.0980234,37.50678443,2025-04-09 0:00:00,20250430 00:00:00.0,2025-03-21 11:00:00,2025-04-30 9:00:00,松坡区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742362579731XRQH9Q7HYHRA7K63R3A3N8P34,02-2147-3246,17:00,18:00,李龙日,1,20250430,0:00:00
182,本身,S250319151123680388,文化体验,教育体验,预约截止,[4月石村湖艺术馆教育项目] 韩国舞蹈,免费,石村湖艺术工作室,无限制,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319151123680388,127.0980234,37.50678443,2025-04-09 0:00:00,20250430 00:00:00.0,2025-03-21 11:00:00,2025-04-30 9:00:00,松坡区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742364725898C1S0AQBG68VP144WA8JUBAEQL,02-2147-3246,12:00,13:00,李龙日,1,20250430,0:00:00
183,本身,S250326141628983120,文化体验,山林休闲,正在接收,金川区森林解说项目（周三，周四，周日）,免费,金川绿色广场,残疾人（小学特殊班级）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250326141628983120,126.91122,37.4469,2025-04-07 0:00:00,20251130 00:00:00.0,2025-04-01 0:00:00,2025-11-28 0:01:00,衿川区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174296803322898ZPSQ55JPYWEBS2CEO200HQC,02-2627-1667,10:00,12:00,李龙日,2,20251130,0:00:00
184,本身,S250220152441381029,文化体验,教育体验,正在接收,2025年熊独里动物课堂（残疾班团体）,免费,首尔动物园,幼儿（5~7岁）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250220152441381029,127.0162848,37.42847956,2025-03-03 0:00:00,20251027 00:00:00.0,2025-03-05 14:00:00,2025-10-27 0:00:00,果川市,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740033404150EATCQQYDF060R6QJJJNIE0131,"02-500-7177, 7782",10:00,14:30,李龙日,5,20251027,0:00:00
185,本身,S250224134709315953,文化体验,教育体验,正在接收,2025年首尔动物园动物爱心！幼儿园（2019年~2021年出生）,免费,首尔动物园,小学生（陪伴家庭）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250224134709315953,127.0162848,37.42847956,2025-03-03 0:00:00,20251107 00:00:00.0,2025-03-05 14:00:00,2025-10-31 18:00:00,果川市,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17403732131317WGCR8JNWLUXTWBWRFRHTVBHN,02-500-7177,10:00,14:30,李龙日,1,20251107,0:00:00
186,本身,S250319143555571898,文化体验,公园探访,正在接收,(周六) 寻找机会！南山探险,免费,汉南公园利用支持中心,小学生（小学以上家庭）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250319143555571898,126.9971,37.54148,2025-04-12 0:00:00,20250426 00:00:00.0,2025-03-20 14:00:00,2025-04-24 9:00:00,龙山区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742363277256UPLU0WY3ZY5TD377NWKP5THYK,02-3783-5995,14:00,15:30,李龙日,2,20250426,0:00:00
187,本身,S250320092045413042,文化体验,公园探访,预约截止,(庭园文化特别) 我们的家庭园艺日记,免费,汉南公园利用支持中心,幼儿（3~4岁）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320092045413042,126.9971,37.54148,2025-04-06 0:00:00,20250427 00:00:00.0,2025-03-20 14:00:00,2025-04-24 9:00:00,龙山区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742431875390Q9MCTH53CWCHYTNJEUODT06WK,02-3783-5995,14:00,15:30,李龙日,2,20250427,0:00:00
189,本身,S250224142247771348,文化体验,教育体验,正在接收,2025年首尔动物园小动物课堂（2022年，2023年出生婴儿班）,免费,首尔动物园,残疾人，小学生,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250224142247771348,127.0162848,37.42847956,2025-03-03 0:00:00,20251107 00:00:00.0,2025-03-05 14:00:00,2025-10-31 18:00:00,果川市,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740374747967FCKUINFLFPTDTD6HD6HZ5TWFM,02-500-7177,10:00,14:00,李龙日,1,20251107,0:00:00
190,本身,S240227131737766783,文化体验,教育体验,正在接收,2025年「叮咚！首尔动物园教育套件」在线教育（目标：小学校特殊班）,免费,首尔动物园 动物课堂,残疾人，小学生,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S240227131737766783,127.01407,37.43643,2025-03-05 0:00:00,20251030 00:00:00.0,2025-03-05 14:00:00,2025-10-30 0:00:00,果川市,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174107055065303K4U9KT1A7E1W105V9X9OV89,02-500-7782,0:00,0:00,李龙日,3,20251030,0:00:00
191,本身,S250218105451360183,文化体验,教育体验,正在接收,2025年「在学校见动物园」在线教育（目标：小学校特殊班）,免费,首尔动物园 动物课堂,无限制（70岁以下）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250218105451360183,127.01407,37.43643,2025-03-03 0:00:00,20251031 00:00:00.0,2025-03-05 14:00:00,2025-10-31 0:00:00,果川市,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174168449536789EZ9F39AFLOIVMHVQ9R62RIG,02-500-7782,0:00,0:00,李龙日,3,20251031,0:00:00
192,本身,S250326105841433691,文化体验,山林休闲,正在接收,[观岳区] 3月-4月，周四-周五，13:30，森林步道登山指导-小步走，深呼吸，无障碍森林步道徒步,免费,观岳山冒险森林,无限制（70岁以下）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250326105841433691,126.9480467,37.46216656,2025-03-28 0:00:00,20250425 00:00:00.0,2025-03-26 14:00:00,2025-04-24 17:00:00,冠岳区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742954320926O5EXYWB3WMJ1PNBIE2SRCSKN3,,13:30,15:30,李龙日,3,20250425,0:00:00
193,本身,S250326110615110177,文化体验,山林休闲,正在接收,[观岳区] 3月-4月，周六-周日，10点，14点，森林步道登山指导-哈哈森林小登山课程（家庭、青年、成人）,免费,观岳山冒险森林,无限制（70岁以下）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250326110615110177,126.9480467,37.46216656,2025-04-05 0:00:00,20250420 00:00:00.0,2025-03-26 14:00:00,2025-04-19 14:01:00,冠岳区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742955743623L7EWX70UQ5B16Q1GMI6HE0JRW,,10:00,16:00,李龙日,3,20250420,0:00:00
194,本身,S250326112831729922,文化体验,山林休闲,正在接收,[观岳区] 3月-4月，周六-周日，10点~15点，森林步道登山指导-观岳山，步行时光。,免费,观岳山冒险森林,无限制（70岁以下）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250326112831729922,126.9480467,37.46216656,2025-03-29 0:00:00,20250427 00:00:00.0,2025-03-26 14:00:00,2025-04-26 17:00:00,冠岳区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742956386944OS5NC0XHN1P52HEI8JWAE5R4T,,10:00,15:00,李龙日,3,20250427,0:00:00
199,本身,S250318132339613396,文化体验,公园探访,正在接收,碧绿树木园4月森林解说 ‘走进树木园’,有偿,蓝色植物园,家庭（陪伴3岁以上幼儿），成人,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250318132339613396,126.8253547,37.48416172,2025-04-01 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-28 17:00:00,九老区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17422718194764DBFHNM68IY5CT2VG170ONR2Y,02-2686-6255,10:00,15:30,李龙日,2,20250430,0:00:00
200,本身,S250404163050630912,文化体验,公园探访,正在接收,庭园探险 ‘春光庭园，球根植物的邀请’,免费,蓝色植物园,无限制,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250404163050630912,126.8253547,37.48416172,2025-04-08 0:00:00,20250502 00:00:00.0,2025-04-08 10:00:00,2025-04-30 17:00:00,九老区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17437532183679NZTSIA5SNLGY5XSYUNAKPP4Z,02-2686-6255,14:00,14:40,李龙日,2,20250502,0:00:00
201,本身,S250304111304942904,文化体验,教育体验,正在接收,[G谷产业博物馆] 上半年家庭（小学3~6年级）教育 <我的小电视>（周六下午）,免费,G谷工业博物馆,家庭（包含4~6年级小学生）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250304111304942904,126.895208,37.48016945,2025-03-29 0:00:00,20250628 00:00:00.0,2025-03-04 15:00:00,2025-06-25 18:00:00,九老区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1741054567513KKJ69DZOQEWJXO2E9IO6SNEFT,02-6734-6919,13:30,15:00,李龙日,3,20250628,0:00:00
202,本身,S250304112323074315,文化体验,教育体验,正在接收,[G谷产业博物馆] 上半年家庭（小学1~6年级）教育 <与老师一起做玩具和缝纫游戏>（周六上午）,免费,G谷工业博物馆,家庭（小学生以上）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250304112323074315,126.895208,37.48016945,2025-03-29 0:00:00,20250628 00:00:00.0,2025-03-04 15:00:00,2025-06-25 18:00:00,九老区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1741055295412QUVPZWEQLE5YEYR0P5OJNGRNT,02-6734-6910,10:30,12:00,李龙日,3,20250628,0:00:00
203,本身,S221229095405951078,文化体验,展览/参观,正在接收,首都博物馆展览解说预约,免费,首都博物馆,无限制,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S221229095405951078,127.04228,37.53982,2024-01-02 0:00:00,20251231 00:00:00.0,2023-12-30 0:01:00,2025-12-30 18:00:00,城东区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1672275530438LS27V13MJ205L29NKPRONXZUH,02-3146-5921,9:00,18:00,李龙日,1,20251231,0:00:00
204,本身,S250204171320632471,文化体验,展览/参观,正在接收,[3~6月周末] 金根台纪念图书馆拉基比尤姆解说（讲解员）程序,免费,金根泰纪念图书馆,无限制,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250204171320632471,127.04402,37.68767,2025-03-08 0:00:00,20250608 00:00:00.0,2025-02-21 9:00:00,2025-06-07 18:00:00,道峰区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1738656844198VMUBG2C29Z0PRN612OYLOPBI9,,14:00,16:00,使用期间起始日,3,20250608,0:00:00
205,本身,S250406161805202261,文化体验,文化活动,正在接收,傻傻的木偶剧《长颈鹿的话是什么？》,免费,金根泰纪念图书馆,儿童,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250406161805202261,127.04402,37.68767,2025-04-15 0:00:00,20250418 00:00:00.0,2025-04-06 9:00:00,2025-04-18 16:00:00,道峰区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743923885049PNVJCW4O0U11I9S3YZ2K9RCMI,,0:00,0:00,受理终止日,1,20250418,0:00:00
206,本身,S250322144546091307,文化体验,教育体验,预约截止,[仙游岛公园] 仙游岛生态岛森林游戏（周四/幼儿团体，4月新生命的诞生）,免费,仙游岛公园,儿童，幼儿,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250322144546091307,126.902,37.54241,2025-03-22 0:00:00,20250417 00:00:00.0,2025-03-25 10:00:00,2025-04-16 17:00:00,永登浦区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742624224337KEMWWCBMI5PEH6I5JAB3JXT88,02-300-5588,10:00,11:30,李龙日,1,20250417,0:00:00
207,本身,S250324165718288151,文化体验,教育体验,正在接收,[仙游岛公园] 仙游岛生态岛故事（周三）（4月）,免费,仙游岛公园,成人,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324165718288151,126.902,37.54241,2025-04-02 0:00:00,20250430 00:00:00.0,2025-03-25 10:00:00,2025-04-29 17:00:00,永登浦区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742804172441Y4IBFU4F4V6270X2GB523E683,"02-2181-1177, 02-300-5574",14:00,15:30,李龙日,1,20250430,0:00:00
208,本身,S220406130953826120,文化体验,展览/参观,正在接收,首尔水再生体验馆团体参观预约,免费,首尔水再生体验馆,无限制,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S220406130953826120,126.8207783,37.57776834,2024-12-01 0:00:00,20250531 00:00:00.0,2024-12-01 0:00:00,2025-05-31 0:00:00,江西区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1656305003220WS50SHO7DL0HU2KYQK7TV5UEL,02-3660-2148,10:00,17:00,李龙日,1,20250531,0:00:00
209,本身,S220414110832633810,文化体验,展览/参观,正在接收,首尔水再生体验馆个人参观预约,免费,首尔水再生体验馆,无限制,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S220414110832633810,126.8207783,37.57776834,2024-01-01 0:00:00,20250504 00:00:00.0,2024-01-01 0:00:00,2025-05-04 0:00:00,江西区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=16563049322031DNH02RHUZE30MXUUU4J3TDJ0,02-3660-2148,10:00,17:00,李龙日,1,20250504,0:00:00
210,本身,S220624150418366520,文化体验,展览/参观,正在接收,体验馆+现代化设施参观预约（限团体）,免费,首尔水再生体验馆,成人，青少年，小学生（5年级以上）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S220624150418366520,126.8207783,37.57776834,2022-07-08 0:00:00,20250627 00:00:00.0,2022-06-27 10:00:00,2025-06-26 16:00:00,江西区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1715670718933BKG9EPZA4RSLRTWX8ZDUCG8ZS,02-3660-2107,14:00,16:00,李龙日,3,20250627,0:00:00
211,本身,S250228105009427374,文化体验,教育体验,正在接收,[小学团体] 下水道啊下水道，你从哪里来？（周三、周四）,免费,首尔水再生体验馆,小学生（3~6年级1班，最多30人）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250228105009427374,126.8207783,37.57776834,2025-04-17 0:00:00,20251030 00:00:00.0,2025-03-10 10:00:00,2025-10-28 17:00:00,江西区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742279233363SURYD36YYJG7L7CZBIMQL47VO,02-3660-2107,10:00,11:30,李龙日,7,20251030,0:00:00
212,本身,S250318133909206053,文化体验,教育体验,正在接收,[首尔未来实验室] 4月 | 任务体验_13点,免费,首尔未来实验室体验馆,青少年（中学、高中生），小学生（2018年出生至2013年出生）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250318133909206053,126.8268547,37.5660332,2025-04-01 0:00:00,20250430 00:00:00.0,2025-03-25 14:00:00,2025-04-29 15:00:00,江西区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742272775063GW8U9V5UBJ8F5CZUH15AMT6S8,02-2063-3461,13:00,13:50,李龙日,1,20250430,0:00:00
213,本身,S250328091622071035,文化体验,教育体验,预约截止,[周六] '咚咚水的故事!'（上半年/4月）,免费,首尔水再生体验馆,家庭（陪伴2019~2021年出生的幼儿）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250328091622071035,126.8207783,37.57776834,2025-04-05 0:00:00,20250426 00:00:00.0,2025-04-02 10:00:00,2025-04-25 17:00:00,江西区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17431211076137085UR5Q80LIPM7RVBN33BP4D,02-3660-2107,13:00,16:30,李龙日,1,20250426,0:00:00
214,本身,S250318090404614004,文化体验,文化活动,预约截止,[周五] 2025年4月首尔汉阳都城月光之行（落山段夜间解说节目）,免费,兴仁之门公园,无限制,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250318090404614004,127.00862,37.57293,2025-03-31 0:00:00,20250430 00:00:00.0,2025-03-31 10:00:00,2025-04-23 0:00:00,钟路区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742256356386DC84MYWOS06EP9221JCF4N9T0,02-2148-1865,0:00,0:00,李龙日,2,20250430,0:00:00
215,本身,S250222163108909166,文化体验,教育体验,正在接收,[工作日 上午] 2025年4月不岩山蝴蝶花园团体参观,免费,佛岩山蝴蝶花园,成人，儿童，幼儿，残疾人，青少年,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250222163108909166,127.08065,37.65547,2025-04-01 0:00:00,20250430 00:00:00.0,2025-03-03 9:00:00,2025-04-29 23:55:00,芦原区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740209557388FORHKYB6V9GW45UZLYQRQ7M0R,02-2116-0559,10:00,12:00,李龙日,1,20250430,0:00:00
216,本身,S250327094739929494,文化体验,教育体验,正在接收,[工作日 上午] 2025年5月不岩山蝴蝶花园团体参观,免费,佛岩山蝴蝶花园,成人，儿童，幼儿，残疾人，青少年,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250327094739929494,127.08065,37.65547,2025-05-01 0:00:00,20250531 00:00:00.0,2025-04-07 9:00:00,2025-05-30 23:55:00,芦原区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743036498257XHK4CM74MVOTER6HY97MMMXA5,02-2116-0559,10:00,12:00,李龙日,1,20250531,0:00:00
218,本身,S250406101510273258,文化体验,教育体验,正在接收,[答十里电影媒体艺术中心] 4月融合文化艺术教育项目 <通过AR遇见的世界1 - 通过AR遇见的动物角色>,收费（咨询费用）,答十里电影媒体艺术中心,小学生（所有年级）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250406101510273258,127.0638,37.5718,2025-04-13 0:00:00,20250413 00:00:00.0,2025-04-06 0:00:00,2025-04-13 0:00:00,东大门区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743902241169VWCDVC9QT43QZSFJ7L42O4HD8,02-2247-4013,10:00,12:00,李龙日,3,20250413,0:00:00
219,本身,S250406102600636147,文化体验,教育体验,正在接收,[答十里电影媒体艺术中心] 4月 小小故事创作者等级① 通过音频传递心意卡片,收费（咨询费用）,答十里电影媒体艺术中心,小学生（低年级（1~3年级））,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250406102600636147,127.0638,37.5718,2025-04-19 0:00:00,20250420 00:00:00.0,2025-04-06 0:00:00,2025-04-19 0:00:00,东大门区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743903076078TMSXSXGGNKY7ALEETCIL5J4FW,02-2247-4013,10:00,12:00,李龙日,3,20250420,0:00:00
220,本身,S250406104432111182,文化体验,教育体验,正在接收,[答十里电影媒体艺术中心] 4月 小小故事创作者等级② 我也是音频剧的主角,收费（咨询费用）,答十里电影媒体艺术中心,小学生（高年级（4~6年级））,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250406104432111182,127.0638,37.5718,2025-04-19 0:00:00,20250420 00:00:00.0,2025-04-06 0:00:00,2025-04-19 0:00:00,东大门区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743904553254J83181Q034CBBUU63WOH82UDM,02-2247-4013,13:00,15:00,李龙日,3,20250420,0:00:00
221,本身,S250324100251673321,文化体验,教育体验,正在接收,[世界杯公园] 与森林解说员一起的电动汽车公园之旅（4月）~ 公园的花卉与树木,免费,西部公园休闲中心,无限制（任何人均可）,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324100251673321,126.89845,37.56361,2025-04-09 0:00:00,20250423 00:00:00.0,2025-03-25 10:00:00,2025-04-22 17:00:00,麻浦区,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742778360008ZBK8CS1OVDOTZ0FRVTK6DDSH2,02-300-5530,10:00,11:30,李龙日,1,20250423,0:00:00
