"키","명칭","행정 시","행정 구","행정 동","전화번호","홈페이지주소","HTML사용여부","X 좌표","Y 좌표"
"BE_IW10-0557","Chotdaebawi Rock","Seoul","Jongno-gu","Muak-dong","","","Y ","126.9580981000","37.5760084000"
"BE_IW10-0558","Malbawi Rock","Seoul","Jongno-gu","Muak-dong","","","Y ","126.9580981000","37.5760084000"
"BE_IW10-0563","Bronze Statue of Yeom Sang-seop","","","","","","Y ","",""
"BE_IW10-0559","Mojabawi Rock","Seoul","Jongno-gu","Muak-dong","","","Y ","126.9580981000","37.5760084000"
"BE_IW10-0560","Gichabawi Rock","Seoul","Jongno-gu","Muak-dong","","","Y ","126.9580981000","37.5760084000"
"BE_IW10-0561","Samobawi Rock","Seoul","Jongno-gu","Muak-dong","","","Y ","126.9580981000","37.5760084000"
"BE_IW10-0562","Gwangtonggyo Bridge","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9803876000","37.5695042000"
"BE_IW10-0564","Plaster Figure of Guan Yu","","","","","","Y ","",""
"BE_IW10-0565","Plater Figure of Dangun","","","","","","Y ","",""
"BE_IW10-0566","Observatory of the Department of Astronomy (Gwansanggam of the Joseon Dynasty), Seoul","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9880143000","37.5780886000"
"BE_IW10-0567","Site of Hwangseong Newspaper","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9797265000","37.5703153000"
"BE_IW10-0568","Site of the Department of Weapon (Hwagidogam of the Joseon Dynasty)","Seoul","Jongno-gu","Samcheong-dong","","","Y ","126.9831241000","37.5807844000"
"BE_IW10-0569","Site of Hanseong Court of Law","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9803876000","37.5695042000"
"BE_IW10-0773","The Statue of Okpa Lee Jongil","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9811467000","37.5738539000"
"BE_IW10-0774","The Statue of Lee Yulgok","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9655759000","37.5722970000"
"BE_IW10-0775","The Statue of patriotic martyr Kim Sangok","Seoul","Jongno-gu","Ihwa-dong","","","Y ","127.0024370000","37.5809403000"
"BE_IW10-0424","Okcheongyo(Bridge)","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9950431000","37.5805909000"
"BE_IW10-0425","Changgyeonggung Myeongjeongjeon","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9950431000","37.5805909000"
"BE_IW10-0426","Changgyeonggung Punggidae","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9950431000","37.5805909000"
"BE_IW10-0427","Gyeonghuigung Heunghwamun Gate","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9688130000","37.5707920000"
"BE_IW10-0428","Gyeonghuigungji","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9679963000","37.5721918000"
"BE_IW10-0429","Gyeongbokgung Amisan Chimney","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9767743000","37.5866061000"
"BE_IW10-0430","Gyeongbokgung Jagyeongjeon","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9767743000","37.5866061000"
"BE_IW10-0431","Ounjeong","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9767743000","37.5866061000"
"BE_IW10-0432","Gyeongbokgung Palace","Seoul","Jongno-gu","Cheongunhyoja-dong","","http://www.royalpalace.go.kr/","Y ","126.9769100000","37.5772775000"
"BE_IW10-0433","Heunginjimun Gate","Seoul","Jongno-gu","Jongno5.6ga-dong","","","Y ","127.0097033000","37.5711486000"
"BE_IW10-0434","Changuimun?Gate","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9692916000","37.5891866000"
"BE_IW10-0435","Gwanghuimun Gate","Seoul","Jung-gu","Gwanghui-dong","","","Y ","127.0050407000","37.5644380000"
"BE_IW10-0436","Hyehwamun Gate","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","127.0005764000","37.5869186000"
"BE_IW10-0437","Souimun","Seoul","Jung-gu","Sogong-dong","","","Y ","126.9704380000","37.5627580000"
"BE_IW10-0438","Fortress Wall of Seoul ","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9659005000","37.5815283000"
"BE_IW10-0439","Donuimun","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9688130000","37.5707920000"
"BE_IW10-0440","Sungnyemun Gate","Seoul","Jung-gu","Sogong-dong","","","Y ","126.9753240000","37.5599933000"
"BE_IW10-0441","Sukjeongmun Gate","Seoul","Jongno-gu","Samcheong-dong","","","Y ","126.9808095000","37.5885407000"
"BE_IW10-0442","Hongjimun Gate & Tangchundaeseong Fortress","Seoul","Jongno-gu","Buam-dong","","","Y ","126.9582734000","37.5984650000"
"BE_IW10-0443","Jongmyo Shrine","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","jm.cha.go.kr/","Y ","126.9940942000","37.5746664000"
"BE_IW10-0444","Jongmyo Shrine Fish Well","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9862921000","37.5745150000"
"BE_IW10-0445","Jongmyo Jung Jun","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9940942000","37.5746664000"
"BE_IW10-0446","JongmyoYeongNyeongJun","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9951424000","37.5699360000"
"BE_IW10-0447","Sajikdan","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9672703000","37.5759436000"
"BE_IW10-0448","Sajikdan Gate","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9672703000","37.5759436000"
"BE_IW10-0449","SeoulMunMyo<DaeSungJun, MyeongRyunDang, Dongmu, Seomu, Sammun>","Seoul","Jongno-gu","Samcheong-dong","","","Y ","126.9957415000","37.5858106000"
"BE_IW10-0450","TangPyeongBi","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9931000000","37.5875000000"
"BE_IW10-0451","Munmyo & Seonggyungwan","Seoul","Jongno-gu","Samcheong-dong","","","Y ","126.9957415000","37.5858106000"
"BE_IW10-0452","Sung bo sa","Seoul","Jongno-gu","Hyehwa-dong","","","Y ","126.9963338000","37.5865853000"
"BE_IW10-0453","Dongmyo Shrine","Seoul","Jongno-gu","Sungin2-dong","","","Y ","127.0183336000","37.5729800000"
"BE_IW10-0454","Seoul YukSangGung","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9735214000","37.5855189000"
"BE_IW10-0455","SunHuiGung Teo","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9685889000","37.5850472000"
"BE_IW10-0457","ChungIl YeoGwan(inn)","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9801469000","37.5714324000"
"BE_IW10-0458","GuGongUbJunSeubSo Main Building","Seoul","Jongno-gu","Ihwa-dong","","","Y ","127.0029213000","37.5788244000"
"BE_IW10-0459","East Building of Choongang High School ","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9864633000","37.5843579000"
"BE_IW10-0460","West Building of Choongang High School ","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9864633000","37.5843579000"
"BE_IW10-0461","PaiWha Girls' HighSchool Dormitory","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9677086000","37.5781422000"
"BE_IW10-0462","Gyeonggyojang ","Seoul","Jongno-gu","Gyonam-dong","","","Y ","126.9681820000","37.5682877000"
"BE_IW10-0463","Seoul DaeHan Clinic","Seoul","Jongno-gu","Ihwa-dong","","","Y ","126.9987981000","37.5791660000"
"BE_IW10-0464","Saemoonan Presbyterian Church","Seoul","Jongno-gu","Sajik-dong","","http://www.saemoonan.org/","Y ","126.9734104000","37.5706533000"
"BE_IW10-0465","The Central Temple of Cheondogyo","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9862771000","37.5753081000"
"BE_IW10-0466","Kyunggi High school","Seoul","Jongno-gu","Samcheong-dong","","","Y ","126.9828000000","37.5806000000"
"BE_IW10-0467","Chongkyo Church","Seoul","Jongno-gu","Sajik-dong","","www.chongkyo.net","Y ","126.9796420000","37.5730330000"
"BE_IW10-0468","SeungDong Church","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9861167000","37.5715664000"
"BE_IW10-0469","the Dong-A Daily News company building","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9776664000","37.5697970000"
"BE_IW10-0470","HyeHwa Catholic church","Seoul","Jongno-gu","Hyehwa-dong","","","Y ","127.0026116000","37.5863859000"
"BE_IW10-0471","main building of Choongang High School ","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9864633000","37.5843579000"
"BE_IW10-0472","Former Main Building of Seoul University","Seoul","Jongno-gu","Ihwa-dong","","","Y ","127.0028970000","37.5799333000"
"BE_IW10-0473","Gyungsin Wels Memorial Hall","","","","","","Y ","",""
"BE_IW10-0474","HaeGong SinIkHui house","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9723239000","37.5819933000"
"BE_IW10-0475","WonSeoDong BaekHeungBum house","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9884880000","37.5837108000"
"BE_IW10-0476","HyeHwaDong KimSangHyub house","Seoul","Jongno-gu","Hyehwa-dong","","","Y ","127.0013976000","37.5895801000"
"BE_IW10-0477","House of Yun Po-seon","Seoul","Jongno-gu","Samcheong-dong","","","Y ","126.9837587000","37.5790018000"
"BE_IW10-0478","Gye-dong Modem Korean houses","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9864295000","37.5790692000"
"BE_IW10-0479","Seoul GyeDong BaeRyum house","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9866095000","37.5813154000"
"BE_IW10-0480","OkInDong Park No Su house","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9667572000","37.5813721000"
"BE_IW10-0481","House of Kim Seunghyeon in Unni-dong (Unhyeongung palace Yeongnodang Villa)","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9866426000","37.5764528000"
"BE_IW10-0482","Villa of Bangye Yun Ung-ryeol","Seoul","Jongno-gu","Buam-dong","","","Y ","126.9621504000","37.5902480000"
"BE_IW10-0483","Site of Yi Gwangsu's Villa in Hongji-dong, Seoul","Seoul","Jongno-gu","Buam-dong","","","Y ","126.9560406000","37.6002694000"
"BE_IW10-0484","House of Park Jonghwa in Pyeongchang-dong, Seoul","Seoul","Jongno-gu","Pyeongchang-dong","","","Y ","126.9673329000","37.6122517000"
"BE_IW10-0485","House of Jang Myeon in Myeongryun-dong, Seoul ","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9796420000","37.5730330000"
"BE_IW10-0486","Atelier and House of Lee Sangbeom in Nuha-dong, Seoul","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9684084000","37.5788517000"
"BE_IW10-0487","House of Go Huidong in Wonseo-dong, Seoul","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9889583000","37.5831391000"
"BE_IW10-0488","House of Hong Nanpa in Hongpa-dong, Seoul","Seoul","Jongno-gu","Gyonam-dong","","","Y ","126.9651141000","37.5716567000"
"BE_IW10-0489","Ihwajang House, Seoul","Seoul","Jongno-gu","Ihwa-dong","","","Y ","127.0064395000","37.5783498000"
"BE_IW10-0490","House of Lee Ju-ku in Gahoe-dong","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9837718000","37.5836876000"
"BE_IW10-0491","House of Hong Jongmun in Chebu-dong","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9701009000","37.5775321000"
"BE_IW10-0492","House of Min Byeongok in Kyeongun-dong","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9859435000","37.5747066000"
"BE_IW10-0493","House of Kim Hyeongtae in Gahoe-dong","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9849052000","37.5829296000"
"BE_IW10-0494","House of Han Clan in Gahoe-dong ","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9857200000","37.5808485000"
"BE_IW10-0495","House of Baek Inje in Gahoe-dong","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9841689000","37.5808040000"
"BE_IW10-0496","Seokpajeong Byeoldang Villa","Seoul","Jongno-gu","Buam-dong","","","Y ","126.9586308000","37.5992338000"
"BE_IW10-0497","Ounjeong Gazebo","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9767743000","37.5866061000"
"BE_IW10-0498","Well in the Site of the Office of the Royal Genealogy","Seoul","Jongno-gu","Samcheong-dong","","","Y ","126.9783880000","37.5666100000"
"BE_IW10-0499","Site of Baeksa Lee Hangbok's House (Pilun Pavilion)","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9663079000","37.5781153000"
"BE_IW10-0877","Be flogged if you take the tiger after Gyeongbokgung Palace.","","","","","","Y ","",""
"BE_IW10-0878","Samgaksan.Ansan and Jongno,Wangsimni","","","","","","Y ","",""
"BE_IW10-0879","A Tiger of In Wang Mountain, gudeul and Excellency Kim Jagyeom","","","","","","Y ","",""
"BE_IW10-0880","Samgaksan and Seoul woman's rear-ly","","","","","","Y ","",""
"BE_IW10-0881","I?nwangsan Chimabawi Rock","","","","","","Y ","",""
"BE_IW10-0882","Namsan is the Jamdusan?","","","","","","Y ","",""
"BE_IW10-0883","Kite Flying","","","","","","Y ","",""
"BE_IW10-0884","Burning the Moon House","","","","","","Y ","",""
"BE_IW10-0885","General Nami Shrine festival","","","","","","Y ","",""
"BE_IW10-0886","Chimseonjang(Needlework)","","","","","","Y ","",""
"BE_IW10-0887","Janganpyeonsa game","","","","","","Y ","",""
"BE_IW10-0888","Brush-making craftsman","","","","","","Y ","",""
"BE_IW10-0889","Bridge-Walking","","","","","","Y ","",""
"BE_IW10-0890","Korean Seesaw","","","","","","Y ","",""
"BE_IW10-0891","Huimoli Folk Song - Bawi Taryeong","","","","","","Y ","",""
"BE_IW10-0892","A drunken reel","","","","","","Y ","",""
"BE_IW10-0893","Han river water Taryeong","","","","","","Y ","",""
"BE_IW10-0894","Muak-dong(A Road With Story about Rocks of Inwangsan Mountain)_2 hours","","","","","","Y ","",""
"BE_IW10-0895","Gyonam-dong(Historical and Cultural Promenade)_2 hours 30 minutes","","","","","","Y ","",""
"BE_IW10-0896","Sajik-dong(Osol-gil Road)_2 hours 30 minutes","","","","","","Y ","",""
"BE_IW10-0897","Cheongun, Hyoja-dong(A Journey for Spiritual Heritage)","","","","","","Y ","",""
"BE_IW10-0898","Poet Yun Dong-ju Hill[Culture Dulle-gil Trail]_2 hours","","","","","","Y ","",""
"BE_IW10-0899","Changsin-dong(Memory Lane of The Open Minded Person)_2 hours 30 minutes","","","","","","Y ","",""
"BE_IW10-0900","Sungin-dong(Queen Jeongsun's Breath is indwelled Road who is loved by King Danjong)","","","","","","Y ","",""
"BE_IW10-0901","Sejong Village(Road that History and Daily life of Common people is breathing)","","","","","","Y ","",""
"BE_IW10-0902","Buam-dong(Ecology and Culture Visiting Road)","","","","","","Y ","",""
"BE_IW10-0903","Post Administration Postal services Monument that First introduced the Modern Post System","","","","","","Y ","",""
"BE_IW10-0904","Way to walk with look Cheongpunggye, Yun Dong-ju Hill","","","","","","Y ","",""
"BE_IW10-0905","Do you know Ssanghyojagol? Ssanghongmun-ground","","","","","","Y ","",""
"BE_IW10-0906","King Yeongjo's biological mother, Place of Suk-bin Choe end her's life Changuigung(palace) Site","","","","","","Y ","",""
"BE_IW10-0907","Meditate to hidden time Donuimun Site,Gyeonggyojang","","","","","","Y ","",""
"BE_IW10-0908","Jogyesa(Temple) preserve the Central Seoul","","","","","","Y ","",""
"BE_IW10-0909","view landscape to disappear, Follow the Muakcheon-gil Gyeonggyojang-gil","","","","","","Y ","",""
"BE_IW10-0910","Search out way to clear water Ogin-gil","","","","","","Y ","",""
"BE_IW10-0911","Walk along the street for find to utopia Dilkusya,Ginkgo","","","","","","Y ","",""
"BE_IW10-0912","Police Museum","Seoul","Jongno-gu","Sajik-dong","02-3150-3681","http://www.policemuseum.go.kr","Y ","126.9696697000","37.5690134000"
"BE_IW10-0913","Seoul Museum of History","Seoul","Jongno-gu","Sajik-dong","","http://www.museum.seoul.kr","Y ","126.9688348000","37.5707649000"
"BE_IW10-0915","Sungkok Museum","Seoul","Jongno-gu","Sajik-dong","02-737-7650","http://www.sungkokmuseum.com","Y ","126.9700536000","37.5735038000"
"BE_IW10-0916","Gimjongyoung Museum","Seoul","Jongno-gu","Pyeongchang-dong","02-3217-6484","http://www.kimchongyung.com","Y ","126.9776575000","37.6130429000"
"BE_IW10-0917","Kimi Art","Seoul","Jongno-gu","Pyeongchang-dong","02-394-6411","","Y ","126.9743334000","37.6129684000"
"BE_IW10-0918","Young-in Literary Museum","Seoul","Jongno-gu","Pyeongchang-dong","02-379-3182","","Y ","126.9717407000","37.6119149000"
"BE_IW10-0919","Hwajeong Museum","Seoul","Jongno-gu","Pyeongchang-dong","02-2075-0114","http://www.hjmuseum.or.kr/museum/main.asp","Y ","126.9659835000","37.6046315000"
"BE_IW10-0920","Sejong Story?Choongmoogong Story","Seoul","Jongno-gu","Sajik-dong","02-399-1114","http://yisunshinstory.or.kr","Y ","126.9760754000","37.5722306000"
"BE_IW10-0921","Korea History Museum","Seoul","Jongno-gu","Sajik-dong","02-3703-9200","http://www.much.go.kr","Y ","126.9779223000","37.5739219000"
"BE_IW10-0922","Daelim Art Museum","Seoul","Jongno-gu","Sajik-dong","02-720-0667","http://www.daelimmuseum.org/index.do","Y ","126.9733074000","37.5774958000"
"BE_IW10-0923","Can appreciate Changdeokgung Palace's panorama Bukchon Village 1 kyeong","","","","","","Y ","",""
"BE_IW10-0924","Enjjoy rest in a leafy shade for a moment Samcheong Park","","","","","","Y ","",""
"BE_IW10-0925","Sangmyung University Museum","Seoul","Jongno-gu","Pyeongchang-dong","","http://museum.smu.ac.kr","Y ","126.9759660000","37.6105555000"
"BE_IW10-0926","ganaart center","Seoul","Jongno-gu","Pyeongchang-dong","","http://www.ganaart.com","Y ","126.9751895000","37.6122360000"
"BE_IW10-0927","Total Art Museum","Seoul","Jongno-gu","Pyeongchang-dong","","http://www.totalmuseum.org","Y ","126.9757439000","37.6121142000"
"BE_IW10-0928","Samcheong-dong at a look Samcheong-dong observatory","","","","","","Y ","",""
"BE_IW10-0929","Starting in Samcheong-dong Hwagae-gil","","","","","","Y ","",""
"BE_IW10-0930","Mix with Tradition and modern times then Be Stylish more Insadong-gil","","","","","","Y ","",""
"BE_IW10-0931","Unconstrained Stage of YouthMarronnier Park","","","","","","Y ","",""
"BE_IW10-0932","Mural Village that Want to visit again town","","","","","","Y ","",""
"BE_IW10-0933","Start of a piccture puzzle Naksangongwon-gil","","","","","","Y ","",""
"BE_IW10-0934","the night of Cheonggyecheon is more beautiful than during the day Enjoying night view","","","","","","Y ","",""
"BE_IW10-0935","Cheonggye creek 18 Bridge be filled with story","","","","","","Y ","",""
"BE_IW10-0936","Exciting Road Gamgodang-gil","","","","","","Y ","",""
"BE_IW10-0937","Samcheong-dong Stonestair-gil around 8 in Bukchon","","","","","","Y ","",""
"BE_IW10-0938","31 Gahoe-dong around 4,5,6,7 in Bukchon","","","","","","Y ","",""
"BE_IW10-0939","11 Gahoe-dong around 3 in Bukchon","","","","","","Y ","",""
"BE_IW10-0940","Wonseo-dong Gongbang-gil around 2 in Bukchon","","","","","","Y ","",""
"BE_IW10-0941","Unusual Allee Samcheong-dong Caf? Main Street","","","","","","Y ","",""
"BE_IW10-0942","Walk 9 turn of Alleys Chebudong-gil","","","","","","Y ","",""
"BE_IW10-0943","Chosun leading national institution Sungkyunkwan","","","","","","Y ","",""
"BE_IW10-0944","Walk along the Munmyo ceremonial walk of King Geodung-gil","","","","","","Y ","",""
"BE_IW10-0945","One Fine Springday the raod of Songseokwon","","","","","","Y ","",""
"BE_IW10-0946","Meet with the great names of history story of King Sejong story of Admiral","","","","","","Y ","",""
"BE_IW10-0947","Meet with Chosun Gyeongbokgung","","","","","","Y ","",""
"BE_IW10-0948","Stairs of life and 7 colors dream Myeongnuyn-gil","","","","","","Y ","",""
"BE_IW10-0949","forever parting bridge Yeongdogyo(bridge)","","","","","","Y ","",""
"BE_IW10-0950","Want to reach in that place that mournful this mind Dongmangbong","","","","","","Y ","",""
"BE_IW10-0951","Jungupwon Site of Queen Jeongsun spent the rest of her life","","","","","","Y ","",""
"BE_IW10-0952","knowable right to Seoul History Museum","","","","","","Y ","",""
"BE_IW10-0953","Pyeongchang-dong(Road that Landscape in a Beautiful Painting)","","","","","","Y ","",""
"BE_IW10-0954","Hyehwa-dong(Road that Excitement of Literature and Art)","","","","","","Y ","",""
"BE_IW10-0955","Ihwa-dong(A Trip down Memory lane Riding the Time Machine)","","","","","","Y ","",""
"BE_IW10-0956","Bukchon Hanok Village(Bukchon-Course Gahoe-Course Gyedong-Course)","","","","","","Y ","",""
"BE_IW10-0957","Jongno Cultural Center","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","02-2148-4087~8","","Y ","126.9803164000","37.5760934000"
"BE_IW10-0958","Sejong Cultural Center","Seoul","Jongno-gu","Sajik-dong","02-399-1111","http://www.sejongpac.or.kr/","Y ","126.9760754000","37.5722306000"
"BE_IW10-0959","Korea Art Museum","Seoul","Jongno-gu","Gahoe-dong","02-766-6000","","Y ","126.9891180000","37.5791366000"
"BE_IW10-0960","House of Go Hui-dong","Seoul","Jongno-gu","Gahoe-dong","02-2148-4165","","Y ","126.9889583000","37.5831391000"
"BE_IW10-0961","Han Sang Soo Embroidery Museum","Seoul","Jongno-gu","Gahoe-dong","","http://www.hansangsoo.com","Y ","126.9856526000","37.5827384000"
"BE_IW10-0962","Bukchon Museum","Seoul","Jongno-gu","Gahoe-dong","02-766-8402","blog.naver.com/bukchon_art","Y ","126.9846114000","37.5800058000"
"BE_IW10-0571","Site of Heunghwamoon Gate","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9722660000","37.5704148000"
"BE_IW10-0572","Site of Heungdeoksa Temple","Seoul","Jongno-gu","Hyehwa-dong","","","Y ","126.9975000000","37.5891000000"
"BE_IW10-0573","Site of Central Military Camp (Hullyeondogam of the Joseon Dynasty)","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9722660000","37.5704148000"
"BE_IW10-0574","Site of the Department of Meritorious Retainer (Chunghunbu of the Joseon Dynasty)","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9834954000","37.5754369000"
"BE_IW10-0575","Site of Martyrdom of Choe Si-hyeong","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9922221000","37.5710835000"
"BE_IW10-0576","Site of Honghwamoon Gate","Seoul","Jongno-gu","Hyehwa-dong","","","Y ","127.0037831000","37.5878339000"
"BE_IW10-0577","Site of the Hojo (One of the Joseon Dynasty's Six Organs of Government)","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9780181000","37.5710617000"
"BE_IW10-0578","Site of Hyejeonggyo Bridge","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9796420000","37.5730330000"
"BE_IW10-0579","Site of the Hyeongjo (One of the Joseon Dynasty's Six Organs of Government)","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9702003000","37.5839605000"
"BE_IW10-0580","Site of Hyeon Jingeon's House","Seoul","Jongno-gu","Buam-dong","","","Y ","126.9630068000","37.5914055000"
"BE_IW10-0581","Site of Hanyang Infirmary","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9892967000","37.5717158000"
"BE_IW10-0582","Site of Hanseong Telegram Service ","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9767571000","37.5802853000"
"BE_IW10-0583","Site of the General Ji Cheongcheon's House","Seoul","Jongno-gu","Samcheong-dong","","","Y ","126.9817303000","37.5862815000"
"BE_IW10-0584","Site of Ji Seokyeong's House","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9885000000","37.5725000000"
"BE_IW10-0585","Site of Hanseongbu Central Part of the Government Office","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9947753000","37.5702931000"
"BE_IW10-0586","Site of Hanseongbu Northern Part of the Government Office","Seoul","Jongno-gu","Samcheong-dong","","","Y ","126.9798723000","37.5777304000"
"BE_IW10-0587","Site of Hanseongbu Eastern Part of the Government Office","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9979711000","37.5718913000"
"BE_IW10-0588","Site of Hanseong Publishing Corporation ","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9826493000","37.5747639000"
"BE_IW10-0589","Site of Pyeongchang Warehouse","Seoul","Jongno-gu","Pyeongchang-dong","","","Y ","126.9666929000","37.6061187000"
"BE_IW10-0590","Sit of Tongnyewon Government Office","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9901288000","37.5766756000"
"BE_IW10-0591","Site of Tangchundae Hanji Village","Seoul","Jongno-gu","Buam-dong","","","Y ","126.9608133000","37.6011658000"
"BE_IW10-0592","Site of Tangchundae Pavilion","Seoul","Jongno-gu","Buam-dong","","","Y ","",""
"BE_IW10-0593","Site of Chwiunjeong Pavilion","Seoul","Jongno-gu","Samcheong-dong","","","Y ","126.9849145000","37.5873918000"
"BE_IW10-0594","Site of Jojiseo Government Office","Seoul","Jongno-gu","Buam-dong","","","Y ","126.9612883000","37.6028904000"
"BE_IW10-0595","Site of Joseon Newspaper Company Building ","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9841943000","37.5688055000"
"BE_IW10-0596","Site of Joseon Theater","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9871968000","37.5708915000"
"BE_IW10-0597","Site of Joseon Independence Alliance","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9852696000","37.5759208000"
"BE_IW10-0598","Site of Chongyungcheong Military Encampment","Seoul","Jongno-gu","Buam-dong","","","Y ","126.9609583000","37.6031805000"
"BE_IW10-0599","Site of Cheongsongdang Village School","Seoul","Jongno-gu","Cheongunhyoja-dong","","","Y ","126.9692916000","37.5891866000"
"BE_IW10-0600","Site of Cheokhwabi Monument","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9859730000","37.5691073000"
"BE_IW10-0601","Site of Changuigung Palace","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9722336000","37.5779723000"
"BE_IW10-0602","Site of Jindan Society","Seoul","Jongno-gu","Gahoe-dong","","","Y ","126.9853047000","37.5794084000"
"BE_IW10-0603","Site of Jeonokseo Government Office","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9778487000","37.5705957000"
"BE_IW10-0604","Site of Junghakdang Village School","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9800251000","37.5756422000"
"BE_IW10-0605","Site of Juncheonsa Government Office","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9893086000","37.5684728000"
"BE_IW10-0606","Site of Jukdonggung Palace","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9844690000","37.5724164000"
"BE_IW10-0607","Site of Jwapodocheong Police Bureau","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","","","Y ","126.9912948000","37.5701252000"
"BE_IW10-0608","Site of Jongchimgyo Bridge","Seoul","Jongno-gu","Sajik-dong","","","Y ","126.9716000000","37.5754000000"
